experiment_family,experiment_name,crop,horizon_days,validation_rows,validation_start,validation_end,mae,rmse,r2,mape_pct,wape_pct
baseline,roll_mean_7,potato,11,2823,2025-09-02,2025-11-30,237.98401574231812,385.74689861764017,0.9253045017594013,9.51004690237144,9.13272608346601
baseline,roll_mean_28,potato,11,2823,2025-09-02,2025-11-30,241.86215719359052,359.9355157343073,0.9349662277508543,9.803617365030368,9.281551219796826
baseline,previous_day_price,potato,12,2694,2025-09-02,2025-11-30,253.61078553166894,444.3625398610615,0.9009321012423812,9.82247605234832,9.73206041862593
baseline,current_price,potato,12,2694,2025-09-02,2025-11-30,248.8357134475989,444.3621863381775,0.9009322588738294,9.524538593239772,9.548821799936896
baseline,roll_mean_7,potato,12,2694,2025-09-02,2025-11-30,241.4371363286028,389.25580565303585,0.9239799294735757,9.695105602253257,9.264908797644878
baseline,roll_mean_28,potato,12,2694,2025-09-02,2025-11-30,243.35478101003744,361.8557886264869,0.9343054836422535,9.874634827041863,9.338496495668263
baseline,previous_day_price,potato,13,2565,2025-09-02,2025-11-30,254.4391162209043,439.8052221717827,0.9028044606206682,9.959643055399852,9.769261415887971
baseline,current_price,potato,13,2565,2025-09-02,2025-11-30,251.17105713405456,443.9907641462826,0.9009456750302167,9.71652703813153,9.643783368266218
baseline,roll_mean_7,potato,13,2565,2025-09-02,2025-11-30,243.66292429757772,389.6818661541932,0.9236962357398552,9.83228321539228,9.35550649671368
baseline,roll_mean_28,potato,13,2565,2025-09-02,2025-11-30,244.0183461237755,361.9363603987566,0.9341751314808338,9.918533013367984,9.369153017675591
baseline,previous_day_price,potato,14,2436,2025-09-02,2025-11-30,259.3581965285192,454.0935869935095,0.8963454500334989,10.199406006567706,9.959208152303034
baseline,current_price,potato,14,2436,2025-09-02,2025-11-30,251.71484264962842,439.3122471283605,0.9029838011625744,9.873932650910678,9.6657076835287
baseline,roll_mean_7,potato,14,2436,2025-09-02,2025-11-30,246.96283421789158,390.10761370596543,0.9234991102480355,10.008698673107773,9.483233245679337
baseline,roll_mean_28,potato,14,2436,2025-09-02,2025-11-30,244.33303418370534,362.2838657290892,0.934022535797583,9.971405396135696,9.382250410781676
baseline,previous_day_price,potato,15,2307,2025-09-02,2025-11-30,263.75484506353865,460.167943723461,0.8936931006732123,10.40998380519585,10.122965268081574
baseline,current_price,potato,15,2307,2025-09-02,2025-11-30,257.8158372427346,455.7993839835801,0.8957019482708398,10.108654775449889,9.895024924910317
baseline,roll_mean_7,potato,15,2307,2025-09-02,2025-11-30,249.80781904494674,389.6992986751351,0.9237591066322695,10.127424649101739,9.58767553740298
baseline,roll_mean_28,potato,15,2307,2025-09-02,2025-11-30,245.19528588266448,363.75415611887234,0.9335729973596701,9.995508662252133,9.410645564784241
baseline,previous_day_price,tomato,1,29374,2025-10-03,2025-12-31,312.9959858643454,551.9059184326277,0.8447517523347337,9.990967973037037,9.87182692823216
baseline,current_price,tomato,1,29374,2025-10-03,2025-12-31,239.0287382686688,469.70354729976873,0.8875539292211889,7.830139306742269,7.538915646300621
baseline,roll_mean_7,tomato,1,29374,2025-10-03,2025-12-31,412.5067385307674,626.808321145534,0.7997529574005012,12.662212028649295,13.010374935831189
baseline,roll_mean_28,tomato,1,29374,2025-10-03,2025-12-31,554.3618911578085,841.1528633060452,0.6393827813225459,16.589046209578527,17.48445632618818
baseline,previous_day_price,tomato,2,28999,2025-10-03,2025-12-31,372.5666278564002,617.9040444963103,0.8064622009900048,11.716966849170413,11.714424798516724
